door,cell_count,connects,area,width_x,depth_y,height_z,center_x,center_y,center_z
1,2,"Room 5, Room 2",37.209976,6.099997999999999,6.099997999999999,8.0,28.0,53.0,4.0
2,2,"Room 5, Room 3",37.209976,6.099997999999999,6.099997999999999,8.0,56.0,58.0,4.0
3,2,"Room 5, Room 6",37.210024,6.099997999999999,6.100006000000008,8.0,56.0,84.5,4.0
4,4,"Room 5, Room 6, Room 9, Room 8",37.210026,6.099997999999999,6.100006000000008,8.0,53.450001,106.0,4.0
5,2,"Room 5, Room 9",37.210036,6.100000000000001,6.100006000000008,8.0,25.45,106.0,4.0
6,2,Room 2,37.209988,6.099997999999999,6.1,8.0,28.0,-9.999999999177334e-07,4.0
7,2,Room 2,37.209988,6.099997999999999,6.1,8.0,56.0,3.29,4.0
8,2,"Room 2, Room 1",37.209988,6.099997999999999,6.1,8.0,56.0,15.79,4.0
9,2,"Room 2, Room 3",37.209976,6.099997999999999,6.099997999999999,8.0,56.0,39.0,4.0
10,2,"Room 3, Room 6",37.210049,6.100006000000008,6.1000020000000035,8.0,71.0,63.000002,4.0
11,2,"Room 3, Room 1",37.210024,6.100006000000008,6.099997999999999,8.0,71.0,25.0,4.0
12,4,"Room 3, Room 1, Room 4",37.210024999999995,6.100006000000008,6.099997999999999,8.0,86.0,27.5,4.0
13,2,"Room 3, Room 4",37.210024,6.100006000000008,6.099997999999999,8.0,86.0,46.5,4.0
14,4,"Room 3, Room 6, Room 4",37.210048,6.100006000000008,6.1000020000000035,8.0,87.0,63.000002,4.0
15,2,"Room 6, Room 8",37.210074,6.100006000000008,6.100006000000008,8.0,72.0,106.0,4.0
16,2,"Room 6, Room 7",37.210074,6.100006000000008,6.100006000000008,8.0,88.0,88.5,4.0
17,2,"Room 9, Room 8",37.210055,6.100003000000001,6.100006000000008,8.0,50.8999995,121.5,4.0
18,2,"Room 9, Room 10",37.210055,6.100003000000001,6.100005999999979,8.0,50.8999995,149.08999599999999,4.0
19,2,Room 1,37.210036,6.100006000000008,6.1,8.0,99.0,15.79,4.0
20,2,"Room 8, Room 10",37.21003,6.099998999999997,6.100006000000008,8.0,68.3999975,137.0,4.0
21,2,"Room 8, Room 7",37.210024,6.099997999999999,6.100006000000008,8.0,100.66,106.0,4.0
