id,name,center_x,center_y,center_z,bbox_width,bbox_depth,bbox_height,bbox_floor_area,volume,connected_door_count,connected_doors
R001,Room_05_Cava,9.613,12.502,1.2,0.672,1.251,2.4,0.841,2.019,0,
R002,Room_03_Laundry,10.227,11.241,1.2,1.816,1.79,2.4,3.251,7.132,0,
R003,Room_02_Hall,9.3,12.721,1.2,7.216,3.995,2.4,28.828,23.836,0,
R004,Room_06_Batroom_01,11.239,12.138,1.2,2.881,1.586,2.4,4.569,9.854,0,
R005,Room_01_kitchen,6.944,11.607,1.2,2.66,3.041,2.4,8.089,19.416,0,
R006,Room_013_Living,8.348,15.74,1.2,5.469,3.318,2.4,18.146,43.551,0,
R007,Room_010_Bedroom_02,12.49,15.868,1.2,2.702,3.428,2.4,9.262,22.231,0,
R008,Room_09_Bedroom_01,14.441,14.34,1.2,3.607,3.291,2.4,11.871,23.134,0,
R009,Room_07_Closet_01,13.907,12.334,1.2,2.155,1.586,2.4,3.418,8.201,0,
R010,Room_012_Balcony_02,8.895,17.869,1.2,5.469,1.12,2.4,6.125,14.698,0,
R011,Room_011_Balcony_01,15.11,16.964,1.2,2.652,1.091,2.4,2.893,6.944,0,
R012,Room_08_Bathroom_02,15.566,11.633,1.2,1.452,2.943,2.4,4.273,10.255,0,
